股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
002242,九阳股份,C,0.8854
002243,通产丽星,C,0.8623
002244,滨江集团,K,0.6395
002245,澳洋顺昌,G,1.3801
002246,北化股份,C,1.2304
002247,帝龙文化,C,1.3412
002248,*ST东数,C,1.0602
002250,联化科技,C,0.5893
002251,步步高,F,0.8288
002252,上海莱士,C,0.8367
002253,川大智胜,I,1.2544
002254,泰和新材,C,1.0179
002255,海陆重工,C,1.1422
002256,兆新股份,C,0.8027
002258,利尔化学,C,1.4756
002259,升达林业,C,0.3302
002260,德奥通航,C,0.238
002261,拓维信息,I,0.8368
002262,恩华药业,F,0.5877
002263,大东南,C,0.2269
002264,新华都,F,1.4635
002265,西仪股份,C,0.8107
002267,陕天然气,D,0.7667
002269,美邦服饰,C,1.3526
002270,华明装备,C,0.9897
002271,东方雨虹,C,0.9742
002272,川润股份,C,1.4613
002273,水晶光电,C,0.6482
002274,华昌化工,C,0.9246
002275,桂林三金,C,0.5738
002276,万马股份,C,1.0975
002277,友阿股份,F,1.5297
002278,神开股份,C,1.2324
002280,联络互动,I,1.0565
002281,光迅科技,C,1.4039
002282,博深工具,C,1.3813
002283,天润曲轴,C,1.1514
002284,亚太股份,C,0.7461
002285,世联行,K,0.8452
002286,保龄宝,C,1.2915
002287,奇正藏药,C,0.7547
002288,超华科技,C,1.3134
002289,宇顺电子,C,0.6284
002291,星期六,C,0.8834
002293,罗莱生活,C,1.5456
002294,信立泰,C,0.1969
002296,辉煌科技,C,1.2126
002297,博云新材,C,0.9687
002298,中电鑫龙,C,0.7709
002299,圣农发展,A,1.4949
002300,太阳电缆,C,0.8456
002301,齐心集团,C,1.3406
002302,西部建设,C,1.3131
002303,美盈森,C,1.1799
002304,洋河股份,C,0.5201
002305,南国置业,K,0.708
002306,*ST云网,H,1.4733
002308,威创股份,C,1.2345
002309,中利集团,C,1.3266
002311,海大集团,C,0.7491
002312,*ST三泰,C,0.9714
002313,日海通讯,C,1.1228
002315,焦点科技,I,0.5784
002316,键桥通讯,I,0.5477
002317,众生药业,C,-0.1028
002318,久立特材,C,1.1774
002319,乐通股份,C,2.1635
002320,海峡股份,G,1.1746
002321,华英农业,A,2.0181
002322,理工环科,C,0.7633
002323,雅百特,C,0.8937
002324,普利特,C,0.4273
002326,永太科技,C,1.522
002327,富安娜,C,1.648
002328,新朋股份,C,1.1213
002329,皇氏集团,C,0.7351
002330,得利斯,C,0.9911
002331,皖通科技,I,0.9066
002332,仙琚制药,C,0.872
002333,罗普斯金,C,1.036
002334,英威腾,C,1.3097
002335,科华恒盛,C,1.1045
002336,人人乐,F,0.9401
002337,赛象科技,C,0.9736
002338,奥普光电,C,1.3475
002339,积成电子,C,1.4696
002340,格林美,C,1.3043
002341,新纶科技,C,0.9918
002342,巨力索具,C,1.5881
002343,慈文传媒,C,1.0526
002344,海宁皮城,L,0.5182
002345,潮宏基,C,0.7792
002347,泰尔股份,C,0.9656
002348,高乐股份,C,0.7509
002349,精华制药,C,1.1941
002350,北京科锐,C,1.5839
002351,漫步者,C,0.4653
002352,顺丰控股,C,0.8172
002353,杰瑞股份,C,0.5541
002355,兴民智通,C,0.8779
002357,富临运业,G,1.0208
002358,森源电气,C,1.2275
002359,齐星铁塔,C,1.0154
002360,同德化工,C,1.2192
002361,神剑股份,C,1.1636
002362,汉王科技,C,1.4678
002363,隆基机械,C,0.6238
002364,中恒电气,C,1.4067
002365,永安药业,C,1.0317
002366,台海核电,C,0.9617
002367,康力电梯,C,1.0825
002368,太极股份,I,0.9761
002369,卓翼科技,C,0.8216
002370,亚太药业,C,1.3975
002371,北方华创,C,1.1121
002372,伟星新材,C,1.3079
002374,丽鹏股份,C,1.3613
002376,新北洋,C,1.6127
002377,国创高新,C,1.4696
